No.,Symbol,Company Name,Market Cap,Stock Price,% Change,Revenue
182,MNST,Monster Beverage Corporation,60.45B,57.71,0.65%,6.69B
183,SMFG,"Sumitomo Mitsui Financial Group, Inc.",60.44B,9.06,1.57%,28.63B
184,HUM,Humana Inc.,60.05B,480.64,0.35%,98.73B
185,BMO,Bank of Montreal,59.79B,83.86,1.61%,23.57B
186,TRI,Thomson Reuters Corporation,57.66B,126.63,-0.10%,6.72B
187,EPD,Enterprise Products Partners L.P.,57.62B,26.53,0.80%,52.21B
188,MMM,3M Company,57.47B,104.12,5.22%,33.05B
189,MCK,McKesson Corporation,57.38B,423.40,0.02%,284.04B
190,MPC,Marathon Petroleum Corporation,57.19B,143.03,-0.66%,159.23B
191,TGT,Target Corporation,56.98B,123.43,1.35%,108.01B
192,STLA,Stellantis N.V.,56.82B,18.30,0.66%,208.75B
193,RACE,Ferrari N.V.,56.74B,313.31,0.66%,6.07B
194,ORLY,"O'Reilly Automotive, Inc.",56.31B,934.43,0.36%,15.22B
195,ANET,"Arista Networks, Inc.",56.10B,181.96,0.59%,5.26B
196,USB,U.S. Bancorp,56.08B,36.02,1.44%,24.11B
197,EMR,Emerson Electric Co.,56.08B,98.12,0.49%,16.44B
198,EL,The Est̩e Lauder Companies Inc.,55.94B,156.39,2.08%,15.91B
199,FCX,Freeport-McMoRan Inc.,55.84B,38.96,1.64%,21.89B
200,VALE,Vale S.A.,55.77B,12.92,1.41%,43.84B
201,ITUB,Ita̼ Unibanco Holding S.A.,55.57B,5.67,3.28%,21.85B
202,OXY,Occidental Petroleum Corporation,55.50B,62.24,0.65%,31.82B
203,BNS,The Bank of Nova Scotia,55.34B,46.19,1.18%,23.38B
204,PXD,Pioneer Natural Resources Company,55.26B,236.42,1.13%,20.34B
205,BN,Brookfield Corporation,53.99B,32.93,1.39%,94.60B
206,JD,"JD.com, Inc.",53.18B,33.81,2.58%,147.77B
207,ROP,"Roper Technologies, Inc.",52.83B,495.64,0.17%,5.78B
208,PH,Parker-Hannifin Corporation,52.41B,408.54,1.32%,19.07B
209,CMG,"Chipotle Mexican Grill, Inc.",52.40B,"1,899.27",1.20%,9.28B
210,HMC,"Honda Motor Co., Ltd.",52.39B,31.88,2.44%,125.11B
211,APH,Amphenol Corporation,51.68B,86.65,0.41%,12.56B
212,ECL,Ecolab Inc.,51.51B,180.93,0.25%,14.76B
213,ING,ING Groep N.V.,51.42B,14.47,1.69%,22.23B
214,NXPI,NXP Semiconductors N.V.,51.36B,199.23,1.54%,13.18B
215,CTAS,Cintas Corporation,50.78B,499.09,0.62%,8.82B
216,E,Eni S.p.A.,50.74B,30.87,0.46%,142.22B
217,PSX,Phillips 66,50.38B,113.13,-0.67%,160.50B
218,AJG,Arthur J. Gallagher & Co.,49.33B,228.88,0.56%,9.22B
219,TEAM,Atlassian Corporation Plc,49.26B,191.40,0.20%,3.53B
220,PSA,Public Storage,48.75B,277.28,0.35%,4.39B
221,PNC,"The PNC Financial Services Group, Inc.",48.71B,118.41,0.57%,22.21B
222,TDG,TransDigm Group Incorporated,48.64B,881.50,1.93%,6.24B
223,SNOW,Snowflake Inc.,48.48B,148.75,-2.49%,2.44B
224,BIDU,"Baidu, Inc.",47.99B,137.28,2.58%,18.07B
225,STZ,"Constellation Brands, Inc.",47.99B,261.90,0.93%,9.60B
226,NSC,Norfolk Southern Corporation,47.95B,211.20,0.26%,12.69B
227,TAK,Takeda Pharmaceutical Company Limited,47.51B,15.28,0.33%,29.07B
228,MRVL,"Marvell Technology, Inc.",47.45B,55.17,3.12%,5.62B
229,APO,"Apollo Global Management, Inc.",47.41B,83.64,0.59%,26.82B
230,BBVA,"Banco Bilbao Vizcaya Argentaria, S.A.",47.25B,7.92,1.93%,32.69B
231,MSI,"Motorola Solutions, Inc.",47.11B,280.88,0.75%,9.65B
232,HES,Hess Corporation,47.10B,153.39,1.85%,10.98B
233,KDP,Keurig Dr Pepper Inc.,47.09B,33.70,1.26%,14.57B
234,MET,"MetLife, Inc.",47.02B,62.53,0.19%,70.60B
235,F,Ford Motor Company,46.78B,11.90,-0.08%,169.82B
236,CARR,Carrier Global Corporation,46.55B,55.57,1.00%,21.82B
237,WDS,Woodside Energy Group Ltd,46.52B,24.50,0.99%,18.41B
238,LULU,Lululemon Athletica Inc.,46.49B,365.84,0.07%,8.50B
239,VLO,Valero Energy Corporation,46.47B,131.60,-1.14%,157.15B
240,TT,Trane Technologies plc,46.43B,203.61,0.51%,16.82B
241,ADSK,"Autodesk, Inc.",46.40B,217.09,0.54%,5.15B
242,EW,Edwards Lifesciences Corporation,46.22B,76.03,-0.18%,5.66B
243,FTNT,"Fortinet, Inc.",46.10B,58.70,-0.19%,4.99B
244,RSG,"Republic Services, Inc.",46.02B,145.44,-0.42%,14.43B
245,NGG,National Grid plc,46.01B,62.38,0.34%,26.10B
246,GM,General Motors Company,45.57B,33.12,0.52%,169.73B
247,ODFL,"Old Dominion Freight Line, Inc.",45.50B,416.39,1.80%,5.95B
248,ABEV,Ambev S.A.,45.35B,2.88,0.70%,15.07B
249,AFL,Aflac Incorporated,45.06B,74.58,0.44%,18.80B
250,SRE,Sempra,45.03B,71.56,-,16.97B
251,AZO,"AutoZone, Inc.",44.83B,"2,469.13",0.64%,17.11B
252,HSY,The Hershey Company,44.58B,218.01,0.32%,10.86B
253,PCAR,PACCAR Inc,44.53B,85.18,0.47%,32.54B
